SkuId,hist_mean,hist_std,hist_cv,hist_total,n_days,fcast_mean,fcast_total,PlantId,StorageLocationId,ProductGroup,SubGroup,cluster,velocity_class
AT5X5K,806.5665158371041,936.7252284131874,1.1613738111107101,29946201.6,221,2440.2138937777777,73206.41681333333,1921.0,2130.0,A,AT,0,medium_mover
ATN01K24P,2893.0985686274507,2695.439244448877,0.9316790218200998,457792345.1053333,221,4223.698275,126710.94825,1920.0,2030.0,A,ATN,1,fast_mover
ATN02K12P,619.9438310708898,614.1474015121273,0.9906500730078373,17125948.333333332,221,1320.2147687777776,39606.44306333333,1911.0,1130.0,A,ATN,0,medium_mover
ATPA1K24P,0.14027149321266968,2.0852856613885686,14.866068641337826,31.0,221,584.9418955555556,17548.256866666667,1911.0,1130.0,A,ATPA,2,slow_mover
ATPPCH5X5K,0.04524886877828054,0.6726727939963124,14.86606841877839,10.0,221,63.662265777777776,1909.8679733333333,1920.0,2030.0,A,ATPPCH,2,slow_mover
ATWWP001K24P,41.736327300150826,52.17796252855637,1.250180979080007,285935.5783333333,221,62.94459911111111,1888.3379733333334,1920.0,2030.0,A,ATWWP,0,medium_mover
ATWWP002K12P,16.891401206636502,39.05515043532901,2.3121320697582166,3732.9996666666666,221,95.13549833333335,2854.0649500000004,1920.0,2030.0,A,ATWWP,0,medium_mover
EEA200G24P,0.02262443438914027,0.3359548467936525,14.849203571944638,10.0,221,58.58151622222222,1757.4454866666665,2120.0,2030.0,E,EEA,2,slow_mover
EEA500G12P,0.5203619909502263,5.244653198282296,10.078855257330089,230.0,221,59.10484955555555,1773.1454866666666,2120.0,2030.0,E,EEA,2,slow_mover
MAC1K25P,4.018099547511312,14.922211571682173,3.7137485996858346,888.0,221,40.98168786714976,1229.4506360144928,1915.0,1530.0,M,MAC,0,medium_mover
MAHS025K,26.60633484162896,53.1048976508743,1.9959493844221272,58800.0,221,49.016722666666666,1470.50168,1919.0,1930.0,M,MAHS,0,medium_mover
MAP1K25P,2.669683257918552,30.37454727517672,11.377584653050187,590.0,221,53.13862327938808,1594.1586983816424,1911.0,1130.0,M,MAP,2,slow_mover
MAPA1K24P,0.04524886877828054,0.6726727939963124,14.86606841877839,10.0,221,225.23275199999998,6756.9825599999995,1915.0,1530.0,M,MAPA,2,slow_mover
MAR01K24P,696.3258190045249,601.1109995261546,0.8632611101289416,47551393.854,221,1106.1721986666666,33185.16596,1911.0,1130.0,M,MAR,0,medium_mover
MAR02K12P,119.63274208144796,151.35669296312622,1.265177829484296,1110431.112,221,305.19511466666665,9155.853439999999,1911.0,1130.0,M,MAR,0,medium_mover
MASR025K,104.01357466063348,157.65838309300025,1.515748147353638,551688.0,221,163.5844,4907.531999999999,1914.0,1430.0,M,MASR,0,medium_mover
